Close_front_unrounded_vowel,i	 
Close_front_rounded_vowel,y 	 
Close_central_unrounded_vowel,ɨ	 
Close_central_rounded_vowel,ʉ	 
Close_back_unrounded_vowel,ɯ  	 
Close_back_rounded_vowel,u
Near-close_near-front_unrounded_vowel,ɪ  
Near-close_near-front_rounded_vowel,ʏ 
Near-close_near-back_rounded_vowel,ʊ
Close-mid_front_unrounded_vowel,e 
Close-mid_front_rounded_vowel,ø
Close-mid_central_unrounded_vowel,ɘ 
Close-mid_central_rounded_vowel,ɵ
Close-mid_back_unrounded_vowel,ɤ  
Close-mid_back_rounded_vowel,o 
Mid-central_vowel,ə 
Open-mid_front_unrounded_vowel,ɛ
Open-mid_front_rounded_vowel,œ  
Open-mid_central_unrounded_vowel,ɜ  
Open-mid_central_rounded_vowel,ɞ
Open-mid_back_unrounded_vowel,ʌ  
Open-mid_back_rounded_vowel,ɔ
Near-open_front_unrounded_vowel,æ  
Near-open_central_unrounded_vowel,ɐ 
Open_front_unrounded_vowel,a 					 
Open_front_rounded_vowel,ä  
Open_back_unrounded_vowel,ɑ  
Open_back_rounded_vowel,ɒ 		
Voiceless_bilabial_plosive,p 
Voiced_bilabial_plosive,b 		  
Voiceless_alveolar_plosive,t 
Voiced_alveolar_plosive,d 	  
Voiceless_retroflex_plosive,ʈ 
Voiced_retroflex_plosive,ɖ 
Voiceless_palatal_plosive,c
Voiced_palatal_plosive,ɟ 
Voiceless_velar_plosive,k 
Voiced_velar_plosive,g 
Voiceless_uvular_plosive,q 
Voiced_uvular_plosive,ɢ 
Glottal_stop,ʔ 			  
Bilabial_nasal,m 			  
Labiodental_nasal,ɱ 			  
Alveolar_nasal,n 			  
Retroflex_nasal,ɳ 			  
Palatal_nasal,ɲ 			  
Velar_nasal,ŋ 			  
Uvular_nasal,ɴ 
Bilabial_trill,ʙ 	  
Alveolar_trill,r 				  
Uvular_trill,ʀ 			
Alveolar_tap,ɾ 				  
Retroflex_flap,ɽ 
Voiceless_bilabial_fricative,ɸ 
Voiced_bilabial_fricative,β 
Voiceless_labiodental_fricative,f 
Voiced_labiodental_fricative,v 
Voiceless_dental_fricative,θ 
Voiced_dental_fricative,ð 
Voiceless_alveolar_fricative,s 
Voiced_alveolar_fricative,z 
Voiceless_postalveolar_fricative,ʃ 
Voiced_postalveolar_fricative,ʒ 
Voiceless_retroflex_fricative,ʂ 
Voiced_retroflex_fricative,ʐ 
Voiceless_palatal_fricative,ç 
Voiced_palatal_fricative,ʝ 
Voiceless_velar_fricative,x 
Voiced_velar_fricative,ɣ 
Voiceless_uvular_fricative,χ 
Voiced_uvular_fricative,ʁ 
Voiceless_pharyngeal_fricative,ħ 
Voiced_pharyngeal_fricative,ʕ 
Voiceless_glottal_fricative,h 
Voiced_glottal_fricative,ɦ 	  
Voiceless_alveolar_lateral_fricative,ɬ 
Voiced_alveolar_lateral_fricative,ɮ  	  
Labiodental_approximant,ʋ 
Alveolar_approximant,ɹ 
Retroflex_approximant,ɻ 
Palatal_approximant,j 
Voiced_velar_approximant,ɰ 
Alveolar_lateral_approximant,l 
Retroflex_lateral_approximant,ɭ
Palatal_lateral_approximant,ʎ 
Velar_lateral_approximant,ʟ 

							  
